round,team1_win_prob,team2_win_prob,team1_score,team2_score,team_round_winner,match_id,team1_label,team2_label
21,0.5879224324574066,0.4120775675425934,11,10,1,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
22,0.4902624679775096,0.5097375320224904,11,11,2,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
23,0.5489041986891571,0.4510958013108429,12,11,1,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
24,0.6064564346870609,0.3935435653129391,13,11,1,ea32f93c2d369441,"PR, REZ, Tauson, acoR, ztr","Ex3rcice, Graviti, Lucky, Maka, bodyy"
1,0.6530708653558237,0.3469291346441763,1,0,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
2,0.7234115628921893,0.27658843710781067,2,0,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
3,0.5510958013108429,0.4489041986891571,2,1,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
4,0.6419597542447126,0.35804024575528737,3,1,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
5,0.701923467654094,0.29807653234590603,4,1,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
6,0.7503716233664701,0.24962837663352988,5,1,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
7,0.6013735790886208,0.39862642091137923,5,2,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
8,0.5386717704411441,0.4613282295588559,5,3,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
9,0.46659807360322675,0.5334019263967733,5,4,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
10,0.4035963229732151,0.5964036770267849,5,5,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
11,0.34659699466083377,0.6534030053391662,5,6,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
12,0.3130631107273559,0.6869368892726442,5,7,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
13,0.28229816851310713,0.7177018314868928,5,8,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
14,0.2536664778926862,0.7463335221073137,5,9,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
15,0.22664292812713788,0.7733570718728622,5,10,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
16,0.39251530980026816,0.6074846901997318,6,10,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
17,0.4589159488571014,0.5410840511428986,7,10,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
18,0.5199549566998035,0.4800450433001965,8,10,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
19,0.4247862775013191,0.5752137224986809,8,11,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
20,0.3848838916532654,0.6151161083467346,8,12,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
21,0.4672375320224904,0.5327624679775096,9,12,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
22,0.5080643406699669,0.49193565933003314,10,12,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
23,0.5445382900331368,0.4554617099668632,11,12,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
24,0.5964036770267849,0.4035963229732151,12,12,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
25,0.4917439494589911,0.508256050541009,12,13,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
26,0.4362908180601918,0.5637091819398081,12,14,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
27,0.384570905369162,0.6154290946308381,12,15,2,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
28,0.47640419868915707,0.5235958013108429,13,15,1,7eec39bd18692a8d,"Ex3rcice, Graviti, Lucky, Maka, bodyy","dumau, latto, lux, n1ssim, saadzin"
