match_id,demo_file,map_name,date,total_rounds,team1_name,team2_name,team1_score,team2_score,winner,match_duration_seconds
c0793dda3a6f7edb,natus-vincere-vs-hotu-m2-train-p1,de_train,2025-10-25T13:17:44.402478,5,"dukefissura, frontales, kade0, mizu, n0rb3r7","Aleksib, b1t, iM, makazze, w0nderful",0,5,"Aleksib, b1t, iM, makazze, w0nderful",342.41406
373123fbf70dee1a,natus-vincere-vs-hotu-m1-ancient,de_ancient,2025-10-25T13:18:18.551563,20,"Aleksib, b1t, iM, makazze, w0nderful","dukefissura, frontales, kade0, mizu, n0rb3r7",13,7,"Aleksib, b1t, iM, makazze, w0nderful",1205.1172
ae1c966718dc489f,spirit-vs-faze-m2-mirage,de_mirage,2025-10-25T13:18:53.059329,18,"Twistzz, broky, frozen, karrigan, rain","SH1R0, chopper, donk, tN1R, zweih",13,5,"Twistzz, broky, frozen, karrigan, rain",1093.0625
567fd423c733ccdf,spirit-vs-faze-m1-nuke-p2,de_nuke,2025-10-25T13:19:31.051379,17,"SH1R0, chopper, donk, tN1R, zweih","Twistzz, broky, frozen, karrigan, rain",7,10,"Twistzz, broky, frozen, karrigan, rain",1274.6328
de40167fa901b43c,spirit-vs-faze-m1-nuke-p1,de_nuke,2025-10-25T13:19:45.506764,5,"SH1R0, chopper, donk, tN1R, zweih","Twistzz, broky, frozen, karrigan, rain",2,3,"Twistzz, broky, frozen, karrigan, rain",369.51562
a0cdd100c76f79ce,spirit-vs-g2-m2-mirage,de_mirage,2025-10-25T13:20:29.935860,22,"HeavyGoD, MATYS, SunPayus, huNter-, malbsMd","SH1R0, chopper, donk, tN1R, zweih",9,13,"SH1R0, chopper, donk, tN1R, zweih",1504.5703
f0a143adeb3bf9d8,spirit-vs-g2-m1-dust2-p2,de_dust2,2025-10-25T13:21:10.886702,17,"SH1R0, chopper, donk, tN1R, zweih","HeavyGoD, MATYS, SunPayus, huNter-, malbsMd",10,7,"SH1R0, chopper, donk, tN1R, zweih",1284.2812
8204e0c4e39ff0a9,spirit-vs-g2-m1-dust2-p1,de_dust2,2025-10-25T13:21:21.645929,4,"SH1R0, chopper, donk, tN1R, zweih","HeavyGoD, MATYS, SunPayus, huNter-, malbsMd",3,1,"SH1R0, chopper, donk, tN1R, zweih",213.11719
ed7ceb6559be97ed,spirit-vs-hotu-m2-dust2,de_dust2,2025-10-25T13:21:57.450497,19,"dukefissura, frontales, kade0, mizu, n0rb3r7","SH1R0, chopper, donk, tN1R, zweih",6,13,"SH1R0, chopper, donk, tN1R, zweih",1213.3906
f2cd2566ed3db0f4,spirit-vs-hotu-m1-overpass-p2,de_overpass,2025-10-25T13:22:16.179434,8,"dukefissura, frontales, kade0, mizu, n0rb3r7","SH1R0, chopper, donk, tN1R, zweih",4,4,"SH1R0, chopper, donk, tN1R, zweih",518.84375
76563ec732b6e071,spirit-vs-hotu-m1-overpass-p1,de_overpass,2025-10-25T13:22:40.055537,12,"SH1R0, chopper, donk, tN1R, zweih","dukefissura, frontales, kade0, mizu, n0rb3r7",9,3,"SH1R0, chopper, donk, tN1R, zweih",728.89844
7f7c2042ff8c4fde,spirit-vs-inner-circle-m3-mirage,de_mirage,2025-10-25T13:23:28.600607,24,"SH1R0, chopper, donk, tN1R, zweih","Dawy, Flierax, cairne, nifee, onic",13,11,"SH1R0, chopper, donk, tN1R, zweih",1650.1406
4478ad7fbddeebc0,spirit-vs-inner-circle-m2-nuke-p2,de_nuke,2025-10-25T13:23:59.771666,15,"Dawy, Flierax, cairne, nifee, onic","SH1R0, chopper, donk, tN1R, zweih",11,4,"Dawy, Flierax, cairne, nifee, onic",931.9453
be9d7e12bd6c8f0a,spirit-vs-inner-circle-m2-nuke-p1,de_nuke,2025-10-25T13:24:04.870131,2,"Dawy, Flierax, cairne, nifee, onic","SH1R0, chopper, donk, tN1R, zweih",2,0,"Dawy, Flierax, cairne, nifee, onic",66.11719
6437263ad5fe60ed,spirit-vs-inner-circle-m1-ancient,de_ancient,2025-10-25T13:24:32.718881,17,"SH1R0, chopper, donk, tN1R, zweih","Dawy, Flierax, cairne, nifee, onic",13,4,"SH1R0, chopper, donk, tN1R, zweih",1013.4922
d693ae272c994193,the-mongolz-vs-gamerlegion-m3-nuke,de_nuke,2025-10-25T13:25:08.822149,20,"910-, Mzinho, Senzu, Techno4K, bLitz","PR, REZ, Tauson, hypex, ztr",13,7,"910-, Mzinho, Senzu, Techno4K, bLitz",1154.9844
8ecabd98c235c6b0,the-mongolz-vs-gamerlegion-m2-ancient,de_ancient,2025-10-25T13:25:56.098092,24,"910-, Mzinho, Senzu, Techno4K, bLitz","PR, REZ, Tauson, hypex, ztr",11,13,"PR, REZ, Tauson, hypex, ztr",1570.1953
fce7321894e836fe,the-mongolz-vs-gamerlegion-m1-inferno,de_inferno,2025-10-25T13:26:50.373901,23,"910-, Mzinho, Senzu, Techno4K, bLitz","PR, REZ, Tauson, hypex, ztr",13,10,"910-, Mzinho, Senzu, Techno4K, bLitz",1593.0547
2b80c9dd6ae2eed1,the-mongolz-vs-gentle-mates-m2-mirage,de_mirage,2025-10-25T13:28:17.509979,41,"MartinezSa, alex , dav1g, mopoz, sausoL","910-, Mzinho, Senzu, Techno4K, bLitz",19,22,"910-, Mzinho, Senzu, Techno4K, bLitz",2695.9062
bdf5335b4be82590,the-mongolz-vs-gentle-mates-m1-inferno,de_inferno,2025-10-25T13:29:12.367132,21,"910-, Mzinho, Senzu, Techno4K, bLitz","MartinezSa, alex , dav1g, mopoz, sausoL",13,8,"910-, Mzinho, Senzu, Techno4K, bLitz",1373.2266
58abb7bd33c3c20c,the-mongolz-vs-hotu-m3-ancient,de_ancient,2025-10-25T13:29:53.437377,22,"dukefissura, frontales, kade0, mizu, n0rb3r7","910-, Mzinho, Senzu, Techno4K, bLitz",13,9,"dukefissura, frontales, kade0, mizu, n0rb3r7",1349.1484
04ee18f4e22a898f,the-mongolz-vs-hotu-m2-mirage,de_mirage,2025-10-25T13:30:35.215349,23,"dukefissura, frontales, kade0, mizu, n0rb3r7","910-, Mzinho, Senzu, Techno4K, bLitz",10,13,"910-, Mzinho, Senzu, Techno4K, bLitz",1369.125
fc559295e91506da,the-mongolz-vs-hotu-m1-overpass,de_overpass,2025-10-25T13:31:16.051348,21,"910-, Mzinho, Senzu, Techno4K, bLitz","dukefissura, frontales, kade0, mizu, n0rb3r7",8,13,"dukefissura, frontales, kade0, mizu, n0rb3r7",1310.6406
d638daaee2a0b228,the-mongolz-vs-inner-circle-m2-mirage,de_mirage,2025-10-25T13:32:02.601328,24,"Dawy, Flierax, cairne, nifee, onic","910-, Mzinho, Senzu, Techno4K, bLitz",13,11,"Dawy, Flierax, cairne, nifee, onic",1433.1953
9d053219edf6617b,the-mongolz-vs-inner-circle-m1-dust2,de_dust2,2025-10-25T13:32:50.299747,22,"910-, Mzinho, Senzu, Techno4K, bLitz","Dawy, Flierax, cairne, nifee, onic",9,13,"Dawy, Flierax, cairne, nifee, onic",1478.3672
6a4e59dd47c223d0,the-mongolz-vs-natus-vincere-m2-ancient,de_ancient,2025-10-25T13:33:45.985705,28,"Aleksib, b1t, iM, makazze, w0nderful","910-, Mzinho, Senzu, Techno4K, bLitz",16,12,"Aleksib, b1t, iM, makazze, w0nderful",1716.6406
13834c05a2a94a8e,the-mongolz-vs-natus-vincere-m1-nuke,de_nuke,2025-10-25T13:34:23.580964,16,"910-, Mzinho, Senzu, Techno4K, bLitz","Aleksib, b1t, iM, makazze, w0nderful",3,13,"Aleksib, b1t, iM, makazze, w0nderful",1006.3906
e43ac4953cdd35d0,vitality-vs-g2-m2-mirage,de_mirage,2025-10-25T13:35:27.926877,29,"HeavyGoD, MATYS, SunPayus, huNter-, malbsMd","ZywOo, apEX, flameZ, mezii, ropz",13,16,"ZywOo, apEX, flameZ, mezii, ropz",1809.3281
08939126f8117c6d,vitality-vs-g2-m1-inferno,de_inferno,2025-10-25T13:36:12.196826,15,"ZywOo, apEX, flameZ, mezii, ropz","HeavyGoD, MATYS, SunPayus, huNter-, malbsMd",13,2,"ZywOo, apEX, flameZ, mezii, ropz",1183.2422
9f760f2f4354afb0,vitality-vs-gamerlegion-m2-dust2,de_dust2,2025-10-25T13:36:48.433019,14,"PR, REZ, Tauson, hypex, ztr","ZywOo, apEX, flameZ, mezii, ropz",1,13,"ZywOo, apEX, flameZ, mezii, ropz",1068.25
8450fe09d7a34b23,vitality-vs-gamerlegion-m1-overpass,de_overpass,2025-10-25T13:37:24.399833,16,"ZywOo, apEX, flameZ, mezii, ropz","PR, REZ, Tauson, hypex, ztr",13,3,"ZywOo, apEX, flameZ, mezii, ropz",1082.8672
8fe1fe66383881c1,vitality-vs-gentle-mates-m2-train,de_train,2025-10-25T13:38:13.803644,24,"MartinezSa, alex , dav1g, mopoz, sausoL","ZywOo, apEX, flameZ, mezii, ropz",13,11,"MartinezSa, alex , dav1g, mopoz, sausoL",1557.4531
7fe0b470a0f0c825,vitality-vs-gentle-mates-m1-nuke-p2,de_nuke,2025-10-25T13:38:25.140680,3,"MartinezSa, alex , dav1g, mopoz, sausoL","ZywOo, apEX, flameZ, mezii, ropz",3,0,"MartinezSa, alex , dav1g, mopoz, sausoL",199.09375
